CÓD. DEP.,DEPARTAMENTO,CÓD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO,CÓDIGO CULTIVO,NOMBRE CIENTIFICO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha),ESTADO FISICO PRODUCCION
5,ANTIOQUIA,5579,PUERTO BERRIO,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,150,150,4200,28,GRANO SECO
5,ANTIOQUIA,5400,LA UNION,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,23,22,726,33,GRANO SECO
20,CESAR,20250,EL PASO,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,320,74,222,3,GRANO SECO
20,CESAR,20710,SAN ALBERTO,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,35,0,0,0,GRANO SECO
20,CESAR,20310,GONZALEZ,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,31,0,0,0,GRANO SECO
20,CESAR,20621,LA PAZ,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,0,25,750,30,GRANO SECO
20,CESAR,20178,CHIRIGUANA,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,0,300,9000,30,GRANO SECO
25,CUNDINAMARCA,25183,CHOCONTA,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,362,0,0,0,GRANO SECO
25,CUNDINAMARCA,25530,PARATEBUENO,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,200,180,5220,29,GRANO SECO
25,CUNDINAMARCA,25483,NARIÑO,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,100,100,4000,40,GRANO SECO
25,CUNDINAMARCA,25612,RICAURTE,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,60,55,1100,20,GRANO SECO
25,CUNDINAMARCA,25307,GIRARDOT,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,40,30,600,20,GRANO SECO
25,CUNDINAMARCA,25001,AGUA DE DIOS,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,39,37,740,20,GRANO SECO
50,META,50318,GUAMAL,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,45,45,1575,35,GRANO SECO
50,META,50226,CUMARAL,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,0,90,180,2,GRANO SECO
68,SANTANDER,68152,CARCASI,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,8,0,0,0,GRANO SECO
73,TOLIMA,73055,ARMERO (GUAYABAL),CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,150,150,4500,30,GRANO SECO
73,TOLIMA,73854,VALLE DE SAN JUAN,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,37,0,0,0,GRANO SECO
73,TOLIMA,73349,HONDA,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,12,23,161,7,GRANO SECO
73,TOLIMA,73443,MARIQUITA,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,5,40,1200,30,GRANO SECO
76,VALLE DEL CAUCA,76100,BOLIVAR,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,20,14,336,24,GRANO SECO
76,VALLE DEL CAUCA,76275,FLORIDA,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,18,28,1120,40,GRANO SECO
76,VALLE DEL CAUCA,76845,ULLOA,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,16,12,84,7,GRANO SECO
76,VALLE DEL CAUCA,76041,ANSERMANUEVO,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,16,12,480,40,GRANO SECO
76,VALLE DEL CAUCA,76020,ALCALA,CEREALES,MAIZ FORRAJERO,MAIZ FORRAJERO,MAIZ FORRAJERO,1060101,ZEA MAYS,2018A,8,8,338,45,GRANO SECO
8,ATLANTICO,8832,TUBARA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,398,390,798,2,GRANO SECO
8,ATLANTICO,8137,CAMPO DE LA CRUZ,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,371,200,400,2,GRANO SECO
8,ATLANTICO,8675,SANTA LUCIA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,120,80,339,4.2,GRANO SECO
8,ATLANTICO,8296,GALAPA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,62,0,0,0,GRANO SECO
8,ATLANTICO,8606,REPELON,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,60,41,116,2.8,GRANO SECO
8,ATLANTICO,8634,SABANAGRANDE,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,46,0,0,0,GRANO SECO
8,ATLANTICO,8520,PALMAR DE VARELA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,40,10,38,3.8,GRANO SECO
8,ATLANTICO,8758,SOLEDAD,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,20,6,7,1.1,GRANO SECO
13,BOLIVAR,13442,MARIA LA BAJA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,1000,1000,4000,4,GRANO SECO
15,BOYACA,15810,TIPACOQUE,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,200,0,0,0,GRANO SECO
15,BOYACA,15673,SAN MATEO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,135,135,270,2,GRANO SECO
15,BOYACA,15660,SAN EDUARDO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,12,10,16,1.6,GRANO SECO
15,BOYACA,15804,TIBANA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,0,80,160,2,GRANO SECO
17,CALDAS,17088,BELALCAZAR,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,50,35,116,3.4,GRANO SECO
17,CALDAS,17877,VITERBO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,34,5,32,6.4,GRANO SECO
17,CALDAS,17001,MANIZALES,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,31,15,64,4.2,GRANO SECO
17,CALDAS,17616,RISARALDA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,25,12,61,5.1,GRANO SECO
17,CALDAS,17665,SAN JOSE,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,20,5,14,2.8,GRANO SECO
17,CALDAS,17388,LA MERCED,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,20,25,70,2.8,GRANO SECO
17,CALDAS,17042,ANSERMA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,14,14,59,4.2,GRANO SECO
17,CALDAS,17380,LA DORADA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,10,25,169,6.8,GRANO SECO
18,CAQUETA,18592,PUERTO RICO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,81,0,0,0,GRANO SECO
85,CASANARE,85263,PORE,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,150,77,308,4,GRANO SECO
85,CASANARE,85001,YOPAL,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,134,172,430,2.5,GRANO SECO
85,CASANARE,85410,TAURAMENA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,60,47,199,4.2,GRANO SECO
85,CASANARE,85162,MONTERREY,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,50,27,81,3,GRANO SECO
85,CASANARE,85400,TAMARA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,30,5,10,2,GRANO SECO
85,CASANARE,85250,PAZ DE ARIPORO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,25,9,39,4.3,GRANO SECO
19,CAUCA,19256,EL TAMBO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,500,450,1350,3,GRANO SECO
19,CAUCA,19698,SANTANDER DE QUILICHAO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,67,64,197,3.1,GRANO SECO
19,CAUCA,19532,PATIA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,65,120,610,5.1,GRANO SECO
19,CAUCA,19473,MORALES,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,30,30,60,2,GRANO SECO
19,CAUCA,19548,PIENDAMO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,26,0,0,0,GRANO SECO
19,CAUCA,19355,INZA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,20,19,23,1.2,GRANO SECO
19,CAUCA,19845,VILLA RICA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,20,19,97,5.1,GRANO SECO
19,CAUCA,19212,CORINTO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,1050101,ZEA MAYS,2018A,12,0,0,0,GRANO SECO
