"AREA_HA","CODIGO_VER","COD_DPTO","DESCRIPCIO","DPTOMPIO","FUENTE","NOMBRE_VER","NOMB_MPIO","NOM_DEP","OBJECTID","OBSERVACIO","SEUDONIMOS","VIGENCIA","cat","MOD2015A","MOD2015B","MOD2016A","MOD2016B","MOD2017A","MOD2017B","MOD2018A"
7099.48759567,95001008,95,"NULL",95001,"DANE - ESRI","LA ORQUIDEA","SAN JOSÉ DEL GUAVIARE","GUAVIARE",27948,"",1,"ESRI",26991,25.8225138576678,25.9843797644266,26.6996604416232,25.560227115416,25.577819330335,25.2183158573025,26.461654862449
555764.202114,95015015,95,"NULL",95015,"DANE","BUENOS AIRES","CALAMAR","GUAVIARE",27992,"",1,"ESRI",27034,25.3924082611638,25.588211720515,25.9597004894922,25.4180376960226,25.025727843199,24.8977840422497,25.8988464493539
54309.0766879,95025015,95,"NULL",95025,"DANE","AGUA BONITA BAJA","EL RETORNO","GUAVIARE",28006,"",1,"ESRI",27048,25.8618478962913,25.9124323701828,26.3682446683453,25.505952515436,25.5971302375809,25.0627634573496,26.2399900709402
394841.85068,95200018,95,"NULL",95200,"DANE","PUERTO NAME","MIRAFLORES","GUAVIARE",27936,"",1,"ESRI",26979,24.7331023972958,25.8188434036374,25.999665856608,25.3129172306179,25.2538772218831,24.7247413755644,25.8909905964502
10485.7392613,11001051,11,"NULL",11001,"POT BOGOTA","SAN JOSE","BOGOTÁ, D.C.","BOGOTÁ, D. C.",31136,"",1,"2003",30079,11.288807260479,10.7927923900613,12.8688585018626,10.2796253117702,10.7925021556906,10.3599321435458,10.3402196281851
129.028070975,88564002,88,"NULL",88564,"DANE","SANTA CATALINA","PROVIDENCIA","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA",26522,"",1,"2013",26250,11.288807260479,10.7927923900613,12.8688585018626,10.2796253117702,10.7925021556906,10.3599321435458,10.3402196281851
1.99872508679,88001005,88,"NULL",88001,"DANE","ISLOTE CÓRDOBA","SAN ANDRÉS","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA",26516,"",1,"2017",26244,11.288807260479,10.7927923900613,12.8688585018626,10.2796253117702,10.7925021556906,10.3599321435458,10.3402196281851
75.5394104999,50223004,50,"NULL",50223,"GOBERNACIÓN","BELLAVISTA","CUBARRAL","META",16884,"",1,"2000",16683,14.8790978734001,14.567775245218,15.9097400914656,13.8419413821368,14.0763098674863,14.4212796200229,14.3492270117274
10645.0050916,50590009,50,"NULL",50590,"ALCALDIA MUNICIPAL","CAÑO CEIBA","PUERTO RICO","META",17746,"",1,"2000",17539,25.5493626876695,26.3241803811794,26.9052104832787,25.4674113108089,25.5548219511228,25.5202402867142,26.665496469709
3360.7182284,50330049,50,"NULL",50330,"POT","PUERTO NARIÑO","MESETAS","META",17106,"",1,"2003",16902,22.9579598648563,22.8976798294761,24.0609906584603,21.9144276449544,21.8630522332997,22.4067297292357,22.9490566333454
