indice,Imp_Cons_03,Imp_Cons_08,Imp_Cons_09,Imp_Sal_07,Imp_Sal_08,Imp_Sal_09,Imp_Sal_10,Imp_Sal_19,Imp_Sal_21,Num_Oper_06,Socio_Demo_03,Imp_Sal_20,Num_Oper_05
0,0.0,0.0,0.0,0.0,532.533333,532.533333,90.06,0.0,854.0,1.0,64.25,24862.86,6.0
1,629.166667,0.0,0.0,0.0,781.703333,637.7,0.0,182.426667,667.05,1.0,70.89,0.0,8.0
2,1039.166667,18.0,0.0,0.0,1024.623333,1243.873333,56.923333,30372.686667,29706.336667,1.0,38.34,0.0,7.0
3,90.0,39.53,83.020833,0.0,2032.053333,1545.596667,206.716667,1374.02,11459.223333,4.0,69.91,6089.04,26.0
4,469.166667,36.120833,140.479091,0.0,1123.06,1144.983333,144.01,52.55,441.77,3.0,44.56,0.0,34.0
5,560.0,0.0,0.0,0.0,839.583333,935.21,56.64,110.356667,112.746667,2.0,47.1,0.0,5.0
6,0.0,0.0,0.0,0.0,1490.583333,1357.0,446.573333,77764.563333,89994.106667,2.0,74.57,1356.76,14.0
7,902.0,0.0,0.0,0.0,1562.353333,1723.403333,198.98,477.013333,141.78,3.0,57.46,1085.906667,4.0
8,720.833333,138.898333,0.0,0.0,4036.563333,3359.993333,608.403333,1874.896667,11580.006667,2.0,59.23,562.67,38.0
9,100.0,15.833333,0.0,0.0,114.923333,377.15,70.7,16199.006667,18144.333333,1.0,45.81,0.0,4.0
10,0.0,0.0,0.0,0.0,460.726667,374.183333,0.0,2336.056667,2557.0,1.0,15.75,0.0,5.0
11,338.75,37.253333,61.3,0.0,1735.96,1635.923333,209.68,504.723333,533.186667,5.0,39.84,93413.8,15.0
12,0.0,0.0,0.0,0.0,560.78,671.39,73.926667,90700.026667,90843.37,2.0,62.6,0.0,9.0
13,0.0,0.0,0.0,0.0,736.81,666.666667,161.66,1738.953333,8629.07,1.0,42.97,85427.616667,4.0
14,0.0,17.38,0.0,0.0,643.256667,744.6,6.82,28112.473333,29331.793333,2.0,67.79,48.2,5.0
15,257.5,211.8975,49.921429,0.0,4585.44,4757.84,172.86,3136.336667,2124.406667,5.0,36.65,12201.26,39.0
16,95.0,0.0,37.38,0.0,516.53,509.833333,0.0,81.14,112.703333,1.0,24.53,0.0,23.0
17,343.333333,32.5,8.9,0.0,16342.556667,24048.856667,41478.32,125312.23,145885.046667,6.0,45.52,711.036667,26.0
18,0.0,0.0,0.0,0.0,1351.593333,741.006667,1321.823333,16540.993333,17577.063333,2.0,58.09,132.2,8.0
19,0.0,0.0,0.0,0.0,3595.596667,1820.01,834.156667,32878.91,34811.143333,6.0,79.45,0.0,10.0
20,418.333333,0.0,0.0,0.0,431.666667,430.27,0.0,6.163333,70.806667,1.0,61.04,0.0,3.0
21,0.0,0.0,0.0,0.0,1175.27,933.686667,375.38,39984.173333,42774.843333,2.0,89.39,850.266667,11.0
22,0.0,0.0,0.0,0.0,21.266667,0.0,0.0,-440.3,122.0,0.0,44.21,77565.523333,1.0
23,0.0,0.0,0.0,0.0,1152.846667,954.47,84.145,266.9,218.73,8.0,34.7,0.0,7.0
24,0.0,0.0,0.0,0.0,204.81,607.05,98.43,625.283333,650.783333,2.0,30.59,0.0,3.0
25,200.0,78.562727,42.5,0.0,2381.28,2337.53,353.756667,1754.323333,14050.14,5.0,46.62,94365.586667,36.0
26,0.0,0.0,0.0,0.0,569.083333,802.416667,0.0,366.666667,535.77,1.0,37.26,0.0,4.0
27,0.0,0.0,0.0,0.0,140.0,142.86,0.0,2.86,104.493333,0.0,35.58,0.0,2.0
