"AREA_HA","CODIGO_VER","COD_DPTO","DESCRIPCIO","DPTOMPIO","FUENTE","NOMBRE_VER","NOMB_MPIO","NOM_DEP","OBJECTID","OBSERVACIO","SEUDONIMOS","VIGENCIA","cat","SEMESTRE","TMEAN"
7099.48759567,95001008,95,"NULL",95001,"DANE - ESRI","LA ORQUIDEA","SAN JOSÉ DEL GUAVIARE","GUAVIARE",27948,"",1,"ESRI",26991,"2015A",25.8225138576678
7099.48759567,95001008,95,"NULL",95001,"DANE - ESRI","LA ORQUIDEA","SAN JOSÉ DEL GUAVIARE","GUAVIARE",27948,"",1,"ESRI",26991,"2015B",25.9843797644266
7099.48759567,95001008,95,"NULL",95001,"DANE - ESRI","LA ORQUIDEA","SAN JOSÉ DEL GUAVIARE","GUAVIARE",27948,"",1,"ESRI",26991,"2016A",26.6996604416232
7099.48759567,95001008,95,"NULL",95001,"DANE - ESRI","LA ORQUIDEA","SAN JOSÉ DEL GUAVIARE","GUAVIARE",27948,"",1,"ESRI",26991,"2016B",25.560227115416
7099.48759567,95001008,95,"NULL",95001,"DANE - ESRI","LA ORQUIDEA","SAN JOSÉ DEL GUAVIARE","GUAVIARE",27948,"",1,"ESRI",26991,"2017A",25.577819330335
7099.48759567,95001008,95,"NULL",95001,"DANE - ESRI","LA ORQUIDEA","SAN JOSÉ DEL GUAVIARE","GUAVIARE",27948,"",1,"ESRI",26991,"2017B",25.2183158573025
7099.48759567,95001008,95,"NULL",95001,"DANE - ESRI","LA ORQUIDEA","SAN JOSÉ DEL GUAVIARE","GUAVIARE",27948,"",1,"ESRI",26991,"2018A",26.461654862449
555764.202114,95015015,95,"NULL",95015,"DANE","BUENOS AIRES","CALAMAR","GUAVIARE",27992,"",1,"ESRI",27034,"2015A",25.3924082611638
555764.202114,95015015,95,"NULL",95015,"DANE","BUENOS AIRES","CALAMAR","GUAVIARE",27992,"",1,"ESRI",27034,"2015B",25.588211720515
555764.202114,95015015,95,"NULL",95015,"DANE","BUENOS AIRES","CALAMAR","GUAVIARE",27992,"",1,"ESRI",27034,"2016A",25.9597004894922
555764.202114,95015015,95,"NULL",95015,"DANE","BUENOS AIRES","CALAMAR","GUAVIARE",27992,"",1,"ESRI",27034,"2016B",25.4180376960226
555764.202114,95015015,95,"NULL",95015,"DANE","BUENOS AIRES","CALAMAR","GUAVIARE",27992,"",1,"ESRI",27034,"2017A",25.025727843199
555764.202114,95015015,95,"NULL",95015,"DANE","BUENOS AIRES","CALAMAR","GUAVIARE",27992,"",1,"ESRI",27034,"2017B",24.8977840422497
555764.202114,95015015,95,"NULL",95015,"DANE","BUENOS AIRES","CALAMAR","GUAVIARE",27992,"",1,"ESRI",27034,"2018A",25.8988464493539
54309.0766879,95025015,95,"NULL",95025,"DANE","AGUA BONITA BAJA","EL RETORNO","GUAVIARE",28006,"",1,"ESRI",27048,"2015A",25.8618478962913
54309.0766879,95025015,95,"NULL",95025,"DANE","AGUA BONITA BAJA","EL RETORNO","GUAVIARE",28006,"",1,"ESRI",27048,"2015B",25.9124323701828
54309.0766879,95025015,95,"NULL",95025,"DANE","AGUA BONITA BAJA","EL RETORNO","GUAVIARE",28006,"",1,"ESRI",27048,"2016A",26.3682446683453
54309.0766879,95025015,95,"NULL",95025,"DANE","AGUA BONITA BAJA","EL RETORNO","GUAVIARE",28006,"",1,"ESRI",27048,"2016B",25.505952515436
54309.0766879,95025015,95,"NULL",95025,"DANE","AGUA BONITA BAJA","EL RETORNO","GUAVIARE",28006,"",1,"ESRI",27048,"2017A",25.5971302375809
54309.0766879,95025015,95,"NULL",95025,"DANE","AGUA BONITA BAJA","EL RETORNO","GUAVIARE",28006,"",1,"ESRI",27048,"2017B",25.0627634573496
54309.0766879,95025015,95,"NULL",95025,"DANE","AGUA BONITA BAJA","EL RETORNO","GUAVIARE",28006,"",1,"ESRI",27048,"2018A",26.2399900709402
394841.85068,95200018,95,"NULL",95200,"DANE","PUERTO NAME","MIRAFLORES","GUAVIARE",27936,"",1,"ESRI",26979,"2015A",24.7331023972958
394841.85068,95200018,95,"NULL",95200,"DANE","PUERTO NAME","MIRAFLORES","GUAVIARE",27936,"",1,"ESRI",26979,"2015B",25.8188434036374
394841.85068,95200018,95,"NULL",95200,"DANE","PUERTO NAME","MIRAFLORES","GUAVIARE",27936,"",1,"ESRI",26979,"2016A",25.999665856608
394841.85068,95200018,95,"NULL",95200,"DANE","PUERTO NAME","MIRAFLORES","GUAVIARE",27936,"",1,"ESRI",26979,"2016B",25.3129172306179
394841.85068,95200018,95,"NULL",95200,"DANE","PUERTO NAME","MIRAFLORES","GUAVIARE",27936,"",1,"ESRI",26979,"2017A",25.2538772218831
394841.85068,95200018,95,"NULL",95200,"DANE","PUERTO NAME","MIRAFLORES","GUAVIARE",27936,"",1,"ESRI",26979,"2017B",24.7247413755644
394841.85068,95200018,95,"NULL",95200,"DANE","PUERTO NAME","MIRAFLORES","GUAVIARE",27936,"",1,"ESRI",26979,"2018A",25.8909905964502
10485.7392613,11001051,11,"NULL",11001,"POT BOGOTA","SAN JOSE","BOGOTÁ, D.C.","BOGOTÁ, D. C.",31136,"",1,"2003",30079,"2015A",11.288807260479
10485.7392613,11001051,11,"NULL",11001,"POT BOGOTA","SAN JOSE","BOGOTÁ, D.C.","BOGOTÁ, D. C.",31136,"",1,"2003",30079,"2015B",10.7927923900613
10485.7392613,11001051,11,"NULL",11001,"POT BOGOTA","SAN JOSE","BOGOTÁ, D.C.","BOGOTÁ, D. C.",31136,"",1,"2003",30079,"2016A",12.8688585018626
10485.7392613,11001051,11,"NULL",11001,"POT BOGOTA","SAN JOSE","BOGOTÁ, D.C.","BOGOTÁ, D. C.",31136,"",1,"2003",30079,"2016B",10.2796253117702
10485.7392613,11001051,11,"NULL",11001,"POT BOGOTA","SAN JOSE","BOGOTÁ, D.C.","BOGOTÁ, D. C.",31136,"",1,"2003",30079,"2017A",10.7925021556906
10485.7392613,11001051,11,"NULL",11001,"POT BOGOTA","SAN JOSE","BOGOTÁ, D.C.","BOGOTÁ, D. C.",31136,"",1,"2003",30079,"2017B",10.3599321435458
10485.7392613,11001051,11,"NULL",11001,"POT BOGOTA","SAN JOSE","BOGOTÁ, D.C.","BOGOTÁ, D. C.",31136,"",1,"2003",30079,"2018A",10.3402196281851
129.028070975,88564002,88,"NULL",88564,"DANE","SANTA CATALINA","PROVIDENCIA","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA",26522,"",1,"2013",26250,"2015A",11.288807260479
129.028070975,88564002,88,"NULL",88564,"DANE","SANTA CATALINA","PROVIDENCIA","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA",26522,"",1,"2013",26250,"2015B",10.7927923900613
129.028070975,88564002,88,"NULL",88564,"DANE","SANTA CATALINA","PROVIDENCIA","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA",26522,"",1,"2013",26250,"2016A",12.8688585018626
129.028070975,88564002,88,"NULL",88564,"DANE","SANTA CATALINA","PROVIDENCIA","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA",26522,"",1,"2013",26250,"2016B",10.2796253117702
129.028070975,88564002,88,"NULL",88564,"DANE","SANTA CATALINA","PROVIDENCIA","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA",26522,"",1,"2013",26250,"2017A",10.7925021556906
129.028070975,88564002,88,"NULL",88564,"DANE","SANTA CATALINA","PROVIDENCIA","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA",26522,"",1,"2013",26250,"2017B",10.3599321435458
129.028070975,88564002,88,"NULL",88564,"DANE","SANTA CATALINA","PROVIDENCIA","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA",26522,"",1,"2013",26250,"2018A",10.3402196281851
1.99872508679,88001005,88,"NULL",88001,"DANE","ISLOTE CÓRDOBA","SAN ANDRÉS","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA",26516,"",1,"2017",26244,"2015A",11.288807260479
1.99872508679,88001005,88,"NULL",88001,"DANE","ISLOTE CÓRDOBA","SAN ANDRÉS","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA",26516,"",1,"2017",26244,"2015B",10.7927923900613
1.99872508679,88001005,88,"NULL",88001,"DANE","ISLOTE CÓRDOBA","SAN ANDRÉS","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA",26516,"",1,"2017",26244,"2016A",12.8688585018626
1.99872508679,88001005,88,"NULL",88001,"DANE","ISLOTE CÓRDOBA","SAN ANDRÉS","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA",26516,"",1,"2017",26244,"2016B",10.2796253117702
1.99872508679,88001005,88,"NULL",88001,"DANE","ISLOTE CÓRDOBA","SAN ANDRÉS","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA",26516,"",1,"2017",26244,"2017A",10.7925021556906
1.99872508679,88001005,88,"NULL",88001,"DANE","ISLOTE CÓRDOBA","SAN ANDRÉS","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA",26516,"",1,"2017",26244,"2017B",10.3599321435458
1.99872508679,88001005,88,"NULL",88001,"DANE","ISLOTE CÓRDOBA","SAN ANDRÉS","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA",26516,"",1,"2017",26244,"2018A",10.3402196281851
75.5394104999,50223004,50,"NULL",50223,"GOBERNACIÓN","BELLAVISTA","CUBARRAL","META",16884,"",1,"2000",16683,"2015A",14.8790978734001
75.5394104999,50223004,50,"NULL",50223,"GOBERNACIÓN","BELLAVISTA","CUBARRAL","META",16884,"",1,"2000",16683,"2015B",14.567775245218
