  yr	ene	feb	mar	abr	may	jun	jul	ago	sep	oct	nov	dic
  1950	 8.5	11.6	11.5	11.0	15.2	18.9	20.7	19.7	17.7	15.9	13.5	 8.1
  1951	 9.2	 8.8	10.2	11.4	12.1	16.5	18.9	18.3	18.4	14.1	11.8	 9.8
  1952	 7.4	 7.8	13.1	12.2	15.5	18.3	19.1	19.4	15.9	15.8	11.6	 9.4
  1953	 6.6	 6.6	11.4	13.0	15.4	15.5	18.1	19.8	17.3	14.9	13.3	13.4
  1954	 8.0	 6.3	10.9	13.3	13.0	15.5	16.8	18.1	17.9	17.3	13.8	10.7
  1955	12.0	 9.7	 9.7	12.8	14.9	17.3	20.2	21.3	18.9	14.3	12.3	12.0
  1956	10.8	 4.0	11.4	11.8	14.6	15.6	18.2	18.5	19.0	15.6	10.8	10.1
  1957	 8.6	13.6	15.4	12.3	14.4	17.4	19.9	19.5	18.9	16.1	11.7	10.2
  1958	10.6	12.4	12.3	12.1	15.9	17.8	19.2	19.2	20.1	15.1	11.9	12.1
  1959	10.7	 9.5	12.1	13.0	14.3	17.9	20.1	19.9	20.1	16.3	11.5	10.6
  1960	 9.2	10.7	12.5	12.1	15.9	18.3	18.4	19.0	17.5	14.7	12.9	 8.3
  1961	 9.7	13.0	11.5	14.6	16.0	17.9	19.4	19.2	20.8	16.3	12.0	11.9
  1962	 9.7	 8.5	10.0	11.7	14.5	16.6	18.7	20.2	19.1	16.1	10.3	 8.1
  1963	 7.2	 7.0	11.9	11.8	13.2	17.3	19.2	17.8	17.0	15.7	13.8	 8.2
  1964	 8.6	10.0	10.6	11.6	16.1	17.3	19.8	19.9	19.7	13.8	10.8	 8.5
  1965	 8.5	 7.0	11.4	11.4	14.6	16.9	18.2	18.9	16.4	17.1	12.2	11.1
  1966	10.9	12.9	 9.5	13.7	14.0	16.8	18.1	19.5	19.3	15.7	 9.5	 9.6
  1967	 8.9	10.3	10.6	10.3	14.1	16.3	19.4	19.2	18.0	16.4	11.6	 7.7
  1968	 9.2	 9.7	 9.6	11.6	13.3	16.9	19.4	19.2	17.6	17.3	13.4	 9.8
  1969	10.1	 7.4	10.4	11.4	14.6	15.5	19.6	19.4	16.9	16.5	10.4	 8.0
  1970	10.1	 8.7	 7.6	 9.8	13.8	17.8	19.6	19.6	19.0	13.7	13.2	 6.4
  1971	 7.3	 7.8	 6.6	11.8	13.3	15.3	19.9	19.1	17.5	16.3	 8.8	 8.2
  1972	 7.0	 8.5	10.2	10.6	12.4	15.0	18.5	18.2	15.3	14.1	11.8	 9.5
  1973	 7.7	 7.4	 9.0	10.3	15.0	17.4	19.0	21.1	18.7	14.1	10.6	 8.4
  1974	10.3	 8.8	 9.7	11.7	13.8	17.1	18.6	19.2	17.0	11.8	11.5	10.3
  1975	10.2	11.2	 9.1	11.2	14.0	17.9	20.5	20.7	18.2	15.9	11.0	 6.8
  1976	 7.6	10.1	10.2	10.7	14.6	19.8	20.8	20.5	17.7	15.3	11.0	 9.7
  1977	 9.2	12.4	13.2	11.9	13.4	16.0	18.6	18.7	17.8	17.1	12.2	12.8
  1978	 8.6	11.6	11.1	11.7	14.1	16.2	18.7	19.2	18.4	15.9	12.2	13.1
  1979	 8.9	10.4	10.4	12.2	14.1	16.7	19.6	19.5	18.5	16.3	11.5	11.2
  1980	 9.4	11.3	11.1	11.7	13.7	16.8	18.4	20.3	19.1	15.7	11.9	 8.9
