id;city
1;Amsterdam
2;Frankfurt
3;Paris
4;Zurich/Zürich
5;Geneva
6;Milan
7;London
8;Luxembourg
9;Edinburgh
10;Brussels
11;Rome
12;Copenhagen
13;Cologne
14;Madrid
15;Hamburg
16;Stockholm
17;Lausanne
18;Vienna
19;Stuttgart
20;Munich
21;Dusseldorf/Düseldorf
22;Berlin
24;Oslo
26;Lugano
27;Basel
31;Dublin
33;Glasgow
34;Prague
35;Barcelona
36;Helsinki
38;Warsaw
46;Athens
179;Miami
51;Moscow
54;Vaduz
56;Hannover
90;Birmingham
109;Venice
112;Lisbon
121;Monaco
122;Bern
123;Budapest
238;Santa Clara
183;Montreal
133;TBD
134;Abu Dhabi
135;Albany
136;Alberta
137;Almaty
138;Atlanta
139;Austin
140;Baltimore
141;Baton Rouge
142;Beaverston
143;Beijing
144;Bellingham
145;Bellvue
146;Boston
147;Brisbane
148;Cambridge
149;Charlotte
150;Chicago
151;Cleveland
152;Columbus
153;Conshohocken
154;Dallas
155;Denver
156;Des Moines
157;Detroit
182;Montgomery
159;Dubai
160;Fort Lauderdale
161;Foster City
181;Minneapolis
163;Grand Rapids
164;Greensboro
165;Harrisburg
166;Darmstadt
167;Hartford
168;Hong Kong
169;Houston
170;Jersey City
171;Kansas
172;Kuala Lumpur
180;Milwaukee
174;League City
175;Los Angeles
176;Madison
177;Memphis
178;Menomonee Falls
184;Morristown
187;New York
188;Oak Brook
189;Orlando
190;Philadelphia
191;
192;Phoenix
193;Pittsburgh
194;Portland
195;Racine
196;Richmond
197;Rochester
198;San Antonio
199;San Diego
200;San Francisco
201;Seattle
202;Seoul
203;Shanghai
204;Shawnee Mission
205;Short Hills
206;Singapore
207;Stamford
208;Summit
209;Sydney
210;Tacoma
211;Tel-Aviv
212;Timisoara
213;Bucharest
214;Tokyo
215;Topeka
216;Toronto
218;Vancouver
221;Wilmington
222;Winnipeg
223;Woodland Hills
224;Woodside
226;Sao Paulo
227;Mumbai
228;Mexico City
229;Jakarta
230;Washington D.C.
231;Melbourne
232;New Delhi
233;Istambul
234;Bangkok
235;Johannesburg
236;Rio de Janeiro
239;Scottsdale
240;Vail
241;Nice
242;Raleigh, NC
243;Jacksonville, FL
244;Tampa Bay, FL
245;Omaha, NE
246;Lyon
247;Pennyhill Park, Surrey
