"GridType" "k" "SeedSpacing" "Accuracy"
"Squared" "3" "10" 0.992772322063458
"Squared" "4" "10" 0.993281300289669
"Squared" "5" "10" 0.993956819185485
"Squared" "3" "20" 0.994069093794208
"Squared" "4" "20" 0.994608947537818
"Squared" "5" "20" 0.994496672929095
"Squared" "3" "30" 0.995023427968354
"Squared" "4" "30" 0.995133831333598
"Squared" "5" "30" 0.995133831333598
"Squared" "3" "40" 0.994558423963892
"Squared" "4" "40" 0.994991616829215
"Squared" "5" "40" 0.994991616829215
"Hexagonal" "3" "10" 0.99215668295896
"Hexagonal" "4" "10" 0.992701214811266
"Hexagonal" "5" "10" 0.993168090059206
"Hexagonal" "3" "20" 0.992923892785234
"Hexagonal" "4" "20" 0.994233763220335
"Hexagonal" "5" "20" 0.994233763220335
"Hexagonal" "3" "30" 0.993841737711544
"Hexagonal" "4" "30" 0.993841737711544
"Hexagonal" "5" "30" 0.993841737711544
"Hexagonal" "3" "40" 0.99361438162888
"Hexagonal" "4" "40" 0.993821154033278
"Hexagonal" "5" "40" 0.993821154033278
"Squared" "3" "10" 0.99595615622007
"Squared" "4" "10" 0.99595615622007
"Squared" "5" "10" 0.99595615622007
"Squared" "3" "20" 0.997794267029129
"Squared" "4" "20" 0.997794267029129
"Squared" "5" "20" 0.997794267029129
"Squared" "3" "30" 0.912912244720269
"Squared" "4" "30" 0.912912244720269
"Squared" "5" "30" 0.996710749078526
"Squared" "3" "40" 0.997378273530237
"Squared" "4" "40" 0.997378273530237
"Squared" "5" "40" 0.997378273530237
"Hexagonal" "3" "10" 0.995443420047017
"Hexagonal" "4" "10" 0.973763386767537
"Hexagonal" "5" "10" 0.973763386767537
"Hexagonal" "3" "20" 0.997581433145975
"Hexagonal" "4" "20" 0.997581433145975
"Hexagonal" "5" "20" 0.997581433145975
"Hexagonal" "3" "30" 0.99692358296168
"Hexagonal" "4" "30" 0.99692358296168
"Hexagonal" "5" "30" 0.99692358296168
"Hexagonal" "3" "40" 0.996681726276278
"Hexagonal" "4" "40" 0.919326284017143
"Hexagonal" "5" "40" 0.996681726276278
"Squared" "3" "10" 0.996489878738103
"Squared" "4" "10" 0.996455094449007
"Squared" "5" "10" 0.996465529735736
"Squared" "3" "20" 0.996751187088559
"Squared" "4" "20" 0.996712142573559
"Squared" "5" "20" 0.99635030429594
"Squared" "3" "30" 0.996556853473569
"Squared" "4" "30" 0.996481086467935
"Squared" "5" "30" 0.996333804686576
"Squared" "3" "40" 0.996925147798952
"Squared" "4" "40" 0.996925147798952
"Squared" "5" "40" 0.996925147798952
"Hexagonal" "3" "10" 0.996276261514954
"Hexagonal" "4" "10" 0.996230275122289
"Hexagonal" "5" "10" 0.996221386995976
"Hexagonal" "3" "20" 0.996892881920623
"Hexagonal" "4" "20" 0.99680514516182
"Hexagonal" "5" "20" 0.996434872849338
"Hexagonal" "3" "30" 0.996671351745849
"Hexagonal" "4" "30" 0.996388391517997
"Hexagonal" "5" "30" 0.996045514848454
"Hexagonal" "3" "40" 0.996542937084779
"Hexagonal" "4" "40" 0.996512398342713
"Hexagonal" "5" "40" 0.996450934292224
"Squared" "3" "10" 0.982425371919659
"Squared" "4" "10" 0.982462808034116
"Squared" "5" "10" 0.982462808034116
"Squared" "3" "20" 0.982177154204238
"Squared" "4" "20" 0.982177154204238
"Squared" "5" "20" 0.982177154204238
"Squared" "3" "30" 0.98068377876884
"Squared" "4" "30" 0.980748885054852
"Squared" "5" "30" 0.980748885054852
"Squared" "3" "40" 0.980984895341645
"Squared" "4" "40" 0.980984895341645
"Squared" "5" "40" 0.980984895341645
"Hexagonal" "3" "10" 0.982317132719164
"Hexagonal" "4" "10" 0.982549887691657
"Hexagonal" "5" "10" 0.982565350434584
"Hexagonal" "3" "20" 0.981569224258602
"Hexagonal" "4" "20" 0.981785702659592
"Hexagonal" "5" "20" 0.981785702659592
"Hexagonal" "3" "30" 0.981467495686709
"Hexagonal" "4" "30" 0.981343793743286
"Hexagonal" "5" "30" 0.981467495686709
"Hexagonal" "3" "40" 0.981349490543312
"Hexagonal" "4" "40" 0.981343793743286
"Hexagonal" "5" "40" 0.981343793743286
