GridType,SeedSpacing,k,nTrain,Superpixels,Time,TP,FP,TN,FN,Accuracy,FPR,FNR,Sensitivity,Specificity
square,10,3,5000,14480,33.350932121276855,53769,6102,1007459,1478,0.9929079872156645,0.006020357926163299,0.026752583850706824,0.9732474161492932,0.9939796420738367
square,10,4,5000,14480,27.33302068710327,53655,5028,1008533,1592,0.9938061840854484,0.004960727573377429,0.028816044310098286,0.9711839556899017,0.9950392724266226
square,10,5,5000,14480,11.000321865081787,53644,4856,1008705,1603,0.9939568191854852,0.0047910288576612555,0.029015150143899215,0.9709848498561008,0.9952089711423387
square,20,3,5000,3600,23.053943634033203,53813,4686,1008875,1434,0.9942739949551276,0.0046233033828255036,0.025956160515503104,0.9740438394844969,0.9953766966171745
square,20,4,5000,3600,10.333269119262695,53746,4261,1009300,1501,0.9946089475378178,0.004203989695736122,0.027168896048654224,0.9728311039513458,0.9957960103042639
square,20,5,5000,3600,15.851828575134277,53727,3874,1009687,1520,0.9949532563379017,0.003822167585374733,0.027512806125219468,0.9724871938747806,0.9961778324146253
square,30,3,5000,1620,18.439248085021973,53683,3755,1009806,1564,0.9950234279683535,0.003704759752989707,0.02830922946042319,0.9716907705395768,0.9962952402470103
square,30,4,5000,1620,8.268455743789673,53678,3632,1009929,1569,0.9951338313335978,0.003583405438843839,0.028399732112150886,0.9716002678878491,0.9964165945611562
square,30,5,5000,1620,12.592651605606079,53678,3632,1009929,1569,0.9951338313335978,0.003583405438843839,0.028399732112150886,0.9716002678878491,0.9964165945611562
square,40,3,5000,900,21.454349040985107,53039,3608,1009953,2208,0.9945584239638925,0.0035597265482787913,0.039965971002950386,0.9600340289970496,0.9964402734517213
square,40,4,5000,900,9.876791954040527,53039,3608,1009953,2208,0.9945584239638925,0.0035597265482787913,0.039965971002950386,0.9600340289970496,0.9964402734517213
square,40,5,5000,900,17.60419225692749,53039,3608,1009953,2208,0.9945584239638925,0.0035597265482787913,0.039965971002950386,0.9600340289970496,0.9964402734517213
hex,10,3,5000,10560,30.231048822402954,53933,7030,1006531,1314,0.9921931722067948,0.006935941694678465,0.02378409687403841,0.9762159031259616,0.9930640583053215
hex,10,4,5000,10560,16.290594577789307,53839,6128,1007433,1408,0.9929491545721963,0.006046010057608768,0.025485546726519086,0.974514453273481,0.9939539899423913
hex,10,5,5000,10560,14.346693992614746,53818,5782,1007779,1429,0.9932532316374877,0.005704639385296001,0.02586565786377541,0.9741343421362246,0.994295360614704
hex,20,3,5000,2820,32.97528386116028,53291,5466,1008095,1956,0.9930558154504832,0.005392867326189543,0.03540463735587453,0.9645953626441255,0.9946071326738104
hex,20,4,5000,2820,15.261860370635986,53169,4085,1009476,2078,0.9942337632203352,0.004030344498259108,0.0376129020580303,0.9623870979419697,0.9959696555017409
hex,20,5,5000,2820,20.652774572372437,53169,4085,1009476,2078,0.9942337632203352,0.004030344498259108,0.0376129020580303,0.9623870979419697,0.9959696555017409
hex,30,3,5000,1200,19.433023929595947,53669,5004,1008557,1578,0.993841737711544,0.004937048682812382,0.02856263688526074,0.9714373631147393,0.9950629513171876
hex,30,4,5000,1200,9.164050817489624,53737,5113,1008448,1510,0.9938033772202304,0.005044590310795305,0.027331800821764077,0.9726681991782359,0.9949554096892047
hex,30,5,5000,1200,12.069711208343506,53669,5004,1008557,1578,0.993841737711544,0.004937048682812382,0.02856263688526074,0.9714373631147393,0.9950629513171876
hex,40,3,5000,690,28.20054316520691,54047,5625,1007936,1200,0.99361438162888,0.005549739976182982,0.02172063641464695,0.9782793635853531,0.994450260023817
hex,40,4,5000,690,12.112537860870361,54033,5390,1008171,1214,0.9938211540332782,0.00531788417273356,0.021974043839484498,0.9780259561605155,0.9946821158272664
hex,40,5,5000,690,20.770256519317627,54033,5390,1008171,1214,0.9938211540332782,0.00531788417273356,0.021974043839484498,0.9780259561605155,0.9946821158272664
