GridType,SeedSpacing,k,nTrain,Superpixels,Time,TP,FP,TN,FN,Accuracy,FPR,FNR,Sensitivity,Specificity
square,10,3,10000,14480,2.954397678375244,53777,6255,1007306,1470,0.9927723220634576,0.006171310853515476,0.026607779607942514,0.9733922203920575,0.9938286891464845
square,10,4,10000,14480,2.155381441116333,53618,5552,1008009,1629,0.9932813002896685,0.00547771668404763,0.029485763932883234,0.9705142360671167,0.9945222833159524
square,10,5,10000,14480,2.2269341945648193,53644,4856,1008705,1603,0.9939568191854852,0.0047910288576612555,0.029015150143899215,0.9709848498561008,0.9952089711423387
square,20,3,7200,3600,28.6504328250885,53817,4909,1008652,1430,0.9940690937942082,0.004843319740992402,0.025883758394120947,0.9741162416058791,0.9951566802590076
square,20,4,7200,3600,11.875410556793213,53746,4261,1009300,1501,0.9946089475378178,0.004203989695736122,0.027168896048654224,0.9728311039513458,0.9957960103042639
square,20,5,7200,3600,14.302249908447266,53787,4422,1009139,1460,0.9944966729290948,0.004362835586609982,0.026426774304487123,0.9735732256955129,0.99563716441339
square,30,3,3240,1620,28.16238570213318,53683,3755,1009806,1564,0.9950234279683535,0.003704759752989707,0.02830922946042319,0.9716907705395768,0.9962952402470103
square,30,4,3240,1620,15.852771759033203,53678,3632,1009929,1569,0.9951338313335978,0.003583405438843839,0.028399732112150886,0.9716002678878491,0.9964165945611562
square,30,5,3240,1620,17.163661003112793,53678,3632,1009929,1569,0.9951338313335978,0.003583405438843839,0.028399732112150886,0.9716002678878491,0.9964165945611562
square,40,3,1800,900,19.320048093795776,53039,3608,1009953,2208,0.9945584239638925,0.0035597265482787913,0.039965971002950386,0.9600340289970496,0.9964402734517213
square,40,4,1800,900,17.116182565689087,53015,3121,1010440,2232,0.9949916168292153,0.0030792423938963715,0.04040038373124333,0.9595996162687567,0.9969207576061037
square,40,5,1800,900,11.429634094238281,53015,3121,1010440,2232,0.9949916168292153,0.0030792423938963715,0.04040038373124333,0.9595996162687567,0.9969207576061037
hex,10,3,10000,10560,18.999793767929077,53933,7069,1006492,1314,0.9921566829589599,0.006974419891846668,0.02378409687403841,0.9762159031259616,0.9930255801081533
hex,10,4,10000,10560,16.992658615112305,53809,6363,1007198,1438,0.9927012148112664,0.00627786586105819,0.02602856263688526,0.9739714373631148,0.9937221341389418
hex,10,5,10000,10560,13.135673522949219,53816,5871,1007690,1431,0.9931680900592061,0.005792448604474718,0.025901858924466486,0.9740981410755335,0.9942075513955253
hex,20,3,5640,2820,20.617504835128784,53386,5702,1007859,1861,0.9929238927852336,0.005625709750079176,0.03368508697304831,0.9663149130269517,0.9943742902499209
hex,20,4,5640,2820,8.582632303237915,53169,4085,1009476,2078,0.9942337632203352,0.004030344498259108,0.0376129020580303,0.9623870979419697,0.9959696555017409
hex,20,5,5640,2820,25.88782572746277,53169,4085,1009476,2078,0.9942337632203352,0.004030344498259108,0.0376129020580303,0.9623870979419697,0.9959696555017409
hex,30,3,2400,1200,23.350563764572144,53669,5004,1008557,1578,0.993841737711544,0.004937048682812382,0.02856263688526074,0.9714373631147393,0.9950629513171876
hex,30,4,2400,1200,19.48457431793213,53669,5004,1008557,1578,0.993841737711544,0.004937048682812382,0.02856263688526074,0.9714373631147393,0.9950629513171876
hex,30,5,2400,1200,34.1749472618103,53669,5004,1008557,1578,0.993841737711544,0.004937048682812382,0.02856263688526074,0.9714373631147393,0.9950629513171876
hex,40,3,1380,690,21.41504168510437,54047,5625,1007936,1200,0.99361438162888,0.005549739976182982,0.02172063641464695,0.9782793635853531,0.994450260023817
hex,40,4,1380,690,19.72913646697998,54033,5390,1008171,1214,0.9938211540332782,0.00531788417273356,0.021974043839484498,0.9780259561605155,0.9946821158272664
hex,40,5,1380,690,9.906305074691772,54033,5390,1008171,1214,0.9938211540332782,0.00531788417273356,0.021974043839484498,0.9780259561605155,0.9946821158272664
