GridType,SeedSpacing,k,nTrain,Superpixels,Time,TP,FP,TN,FN,Accuracy,FPR,FNR,Sensitivity,Specificity
square,10,3,2852,1426,2.946302890777588,12544,306,90405,112,0.9959561562200703,0.0033733505308066276,0.008849557522123894,0.9911504424778761,0.9966266494691933
square,10,4,2852,1426,1.7041735649108887,12544,306,90405,112,0.9959561562200703,0.0033733505308066276,0.008849557522123894,0.9911504424778761,0.9966266494691933
square,10,5,2852,1426,2.423300266265869,12544,306,90405,112,0.9959561562200703,0.0033733505308066276,0.008849557522123894,0.9911504424778761,0.9966266494691933
square,20,3,1000,345,7.4356162548065186,12626,198,90513,30,0.9977942670291292,0.002182756225816053,0.002370417193426043,0.997629582806574,0.9978172437741839
square,20,4,1000,345,3.275448799133301,12626,198,90513,30,0.9977942670291292,0.002182756225816053,0.002370417193426043,0.997629582806574,0.9978172437741839
square,20,5,1000,345,3.838669776916504,12626,198,90513,30,0.9977942670291292,0.002182756225816053,0.002370417193426043,0.997629582806574,0.9978172437741839
square,30,3,1000,160,5.461794376373291,12656,9002,81709,0,0.9129122447202686,0.09923824012523288,0.0,1.0,0.9007617598747671
square,30,4,1000,160,3.275233030319214,12656,9002,81709,0,0.9129122447202686,0.09923824012523288,0.0,1.0,0.9007617598747671
square,30,5,1000,160,3.8303310871124268,12656,340,90371,0,0.9967107490785261,0.0037481672564518083,0.0,1.0,0.9962518327435482
square,40,3,1000,96,4.274683952331543,12616,231,90480,40,0.9973782735302369,0.0025465489301187286,0.0031605562579013905,0.9968394437420987,0.9974534510698813
square,40,4,1000,96,2.7616119384765625,12616,231,90480,40,0.9973782735302369,0.0025465489301187286,0.0031605562579013905,0.9968394437420987,0.9974534510698813
square,40,5,1000,96,3.841966390609741,12616,231,90480,40,0.9973782735302369,0.0025465489301187286,0.0031605562579013905,0.9968394437420987,0.9974534510698813
hex,10,3,2040,1020,0.9274899959564209,12539,354,90357,117,0.9954434200470169,0.003902503555246883,0.009244627054361567,0.9907553729456384,0.9960974964447531
hex,10,4,2040,1020,1.2646160125732422,10069,125,90586,2587,0.973763386767537,0.001378002667813165,0.20440897597977245,0.7955910240202275,0.9986219973321868
hex,10,5,2040,1020,1.541637897491455,10069,125,90586,2587,0.973763386767537,0.001378002667813165,0.20440897597977245,0.7955910240202275,0.9986219973321868
hex,20,3,1000,270,4.192695379257202,12620,214,90497,36,0.997581433145975,0.0023591405672961385,0.0028445006321112516,0.9971554993678887,0.9976408594327039
hex,20,4,1000,270,2.2882473468780518,12620,214,90497,36,0.997581433145975,0.0023591405672961385,0.0028445006321112516,0.9971554993678887,0.9976408594327039
hex,20,5,1000,270,4.464376926422119,12620,214,90497,36,0.997581433145975,0.0023591405672961385,0.0028445006321112516,0.9971554993678887,0.9976408594327039
hex,30,3,1000,126,3.6627871990203857,12656,318,90393,0,0.9969235829616803,0.0035056387869166913,0.0,1.0,0.9964943612130833
hex,30,4,1000,126,2.5549416542053223,12656,318,90393,0,0.9969235829616803,0.0035056387869166913,0.0,1.0,0.9964943612130833
hex,30,5,1000,126,3.1774680614471436,12656,318,90393,0,0.9969235829616803,0.0035056387869166913,0.0,1.0,0.9964943612130833
hex,40,3,1000,65,4.364314556121826,12654,341,90370,2,0.9966817262762777,0.003759191277794314,0.00015802781289506955,0.9998419721871049,0.9962408087222057
hex,40,4,1000,65,2.593351364135742,12656,8339,82372,0,0.9193262840171428,0.09192931397515186,0.0,1.0,0.9080706860248482
hex,40,5,1000,65,3.2741899490356445,12654,341,90370,2,0.9966817262762777,0.003759191277794314,0.00015802781289506955,0.9998419721871049,0.9962408087222057
