GridType,SeedSpacing,k,TP,FP,TN,FN,Accuracy,FPR,FNR,Sensitivity,Specificity
square,10,3,177614,96,2400780,8885,0.9965289144403111,3.998540532705562e-05,0.04764100611799527,0.9523589938820047,0.999960014594673
square,10,4,177462,92,2400784,9037,0.9964717136093532,3.831934677176164e-05,0.048456023892889506,0.9515439761071105,0.9999616806532282
square,10,5,177396,85,2400791,9103,0.9964489105753901,3.540374429999717e-05,0.04880991318988306,0.951190086810117,0.9999645962557
square,20,3,178248,197,2400139,8207,0.9967511870885588,8.20718432752748e-05,0.04401598240862407,0.955984017591376,0.9999179281567248
square,20,4,178248,197,2400139,8207,0.9967511870885588,8.20718432752748e-05,0.04401598240862407,0.955984017591376,0.9999179281567248
square,20,5,178218,186,2400150,8237,0.9967438420807866,7.748915151878737e-05,0.04417687913973881,0.9558231208602612,0.9999225108484812
square,30,3,177931,239,2400140,8568,0.9965955101090967,9.956760994826234e-05,0.04594126510061716,0.9540587348993829,0.9999004323900518
square,30,4,177661,265,2400114,8838,0.9964810864679354,0.00011039923278782226,0.0473889940428635,0.9526110059571365,0.9998896007672122
square,30,5,177645,265,2400114,8854,0.9964749014062511,0.00011039923278782226,0.04747478538758921,0.9525252146124108,0.9998896007672122
square,40,3,178758,329,2400007,7697,0.9968973140852895,0.00013706414435312388,0.04128073797967338,0.9587192620203266,0.9998629358556469
square,40,4,178758,329,2400007,7697,0.9968973140852895,0.00013706414435312388,0.04128073797967338,0.9587192620203266,0.9998629358556469
square,40,5,178722,297,2400039,7733,0.9968957677678637,0.00012373267742516047,0.041473814057011074,0.9585261859429889,0.9998762673225748
hex,10,3,177025,126,2401089,9482,0.9962870818426399,5.247343532336755e-05,0.05083991485574268,0.9491600851442573,0.9999475265646767
hex,10,4,176839,120,2401095,9668,0.9962175225932306,4.997470030796909e-05,0.05183719645911414,0.9481628035408859,0.999950025299692
hex,10,5,176847,112,2401103,9660,0.9962237056376226,4.6643053620771154e-05,0.05179430262671106,0.948205697373289,0.9999533569463792
hex,20,3,178448,161,2400619,8057,0.9968236974279988,6.706153833337499e-05,0.043199914211415245,0.9568000857885848,0.9999329384616666
hex,20,4,178361,122,2400658,8144,0.9968051451618202,5.0816817867526385e-05,0.04366638964102839,0.9563336103589716,0.9999491831821324
hex,20,5,177296,66,2400714,9209,0.9964151610665234,2.7491065403743783e-05,0.049376692313878985,0.950623307686121,0.9999725089345962
hex,30,3,176478,301,2400177,9980,0.9960258004063495,0.00012539169282117977,0.053524118031942854,0.9464758819680571,0.9998746083071788
hex,30,4,177439,324,2400154,9019,0.9963883915179966,0.0001349731178540274,0.04837014233768463,0.9516298576623153,0.999865026882146
hex,30,5,176128,250,2400228,10330,0.9959102196575408,0.00010414592427008287,0.0554012163597164,0.9445987836402836,0.9998958540757299
hex,40,3,177787,231,2400148,8712,0.9965429370847794,9.623480292070544e-05,0.04671338720314854,0.9532866127968515,0.9999037651970792
hex,40,4,177691,214,2400165,8808,0.9965123983427128,8.915258798714703e-05,0.0472281352715028,0.9527718647284972,0.9999108474120129
hex,40,5,176875,120,2400259,9624,0.9962332974342045,4.999210541335347e-05,0.051603493852513956,0.948396506147486,0.9999500078945867
