GridType,SeedSpacing,k,nTrain,Superpixels,Time,TP,FP,TN,FN,Accuracy,FPR,FNR,Sensitivity,Specificity
square,10,3,10000,26553,48.15502595901489,177513,96,2400780,8986,0.9964898787381032,3.998540532705562e-05,0.04818256398157631,0.9518174360184237,0.999960014594673
square,10,4,10000,26553,44.098923683166504,177419,92,2400784,9080,0.9964550944490072,3.831934677176164e-05,0.04868658813183985,0.9513134118681601,0.9999616806532282
square,10,5,10000,26553,34.84662127494812,177439,85,2400791,9060,0.996465529735736,3.540374429999717e-05,0.048579348950932716,0.9514206510490673,0.9999645962557
square,20,3,10000,6557,44.067442893981934,178248,197,2400139,8207,0.9967511870885588,8.20718432752748e-05,0.04401598240862407,0.955984017591376,0.9999179281567248
square,20,4,10000,6557,13.353355407714844,178123,173,2400163,8332,0.9967121425735593,7.207324307930224e-05,0.04468638545493551,0.9553136145450645,0.9999279267569207
square,20,5,10000,6557,14.868751764297485,177151,137,2400199,9304,0.9963503042959404,5.707534278534338e-05,0.04989943954305329,0.9501005604569467,0.9999429246572147
square,30,3,5830,2915,40.83474373817444,177827,235,2400144,8672,0.9965568534735693,9.790120643448388e-05,0.04649890884133427,0.9535010911586658,0.9999020987935655
square,30,4,5830,2915,14.9567289352417,177661,265,2400114,8838,0.9964810864679354,0.00011039923278782226,0.0473889940428635,0.9526110059571365,0.9998896007672122
square,30,5,5830,2915,12.104401350021362,177248,233,2400146,9251,0.9963338046865758,9.706800467759467e-05,0.04960348312859587,0.9503965168714041,0.9999029319953224
square,40,3,3360,1680,49.739646673202515,178878,377,2399959,7577,0.9969251477989525,0.00015706134474506903,0.04063715105521439,0.9593628489447856,0.999842938655255
square,40,4,3360,1680,10.473948955535889,178878,377,2399959,7577,0.9969251477989525,0.00015706134474506903,0.04063715105521439,0.9593628489447856,0.999842938655255
square,40,5,3360,1680,13.88458514213562,178878,377,2399959,7577,0.9969251477989525,0.00015706134474506903,0.04063715105521439,0.9593628489447856,0.999842938655255
hex,10,3,10000,39405,48.35641574859619,176997,126,2401089,9510,0.9962762615149541,5.247343532336755e-05,0.050990043269153434,0.9490099567308465,0.9999475265646767
hex,10,4,10000,39405,52.79745101928711,176872,120,2401095,9635,0.996230275122289,4.997470030796909e-05,0.05166025940045146,0.9483397405995485,0.999950025299692
hex,10,5,10000,39405,34.3839225769043,176838,109,2401106,9669,0.9962213869959756,4.5393686113071926e-05,0.05184255818816452,0.9481574418118355,0.9999546063138869
hex,20,3,10000,10388,30.533326625823975,178629,163,2400617,7876,0.9968928819206233,6.789460092136722e-05,0.04222943084635801,0.957770569153642,0.9999321053990786
hex,20,4,10000,10388,31.490926504135132,178361,122,2400658,8144,0.9968051451618202,5.0816817867526385e-05,0.04366638964102839,0.9563336103589716,0.9999491831821324
hex,20,5,10000,10388,55.17729663848877,177349,68,2400712,9156,0.9964348728493382,2.832412799173602e-05,0.04909251762687327,0.9509074823731267,0.9999716758720083
hex,30,3,9088,4544,44.00250768661499,178185,338,2400140,8273,0.9966713517458492,0.00014080528961315204,0.044369241330487294,0.9556307586695127,0.9998591947103869
hex,30,4,9088,4544,23.73793935775757,177439,324,2400154,9019,0.9963883915179966,0.0001349731178540274,0.04837014233768463,0.9516298576623153,0.999865026882146
hex,30,5,9088,4544,21.350961208343506,176482,254,2400224,9976,0.9960455148484539,0.0001058122590584042,0.05350266547962544,0.9464973345203745,0.9998941877409416
hex,40,3,5036,2518,56.902040004730225,177787,231,2400148,8712,0.9965429370847794,9.623480292070544e-05,0.04671338720314854,0.9532866127968515,0.9999037651970792
hex,40,4,5036,2518,27.061699390411377,177691,214,2400165,8808,0.9965123983427128,8.915258798714703e-05,0.0472281352715028,0.9527718647284972,0.9999108474120129
hex,40,5,5036,2518,14.38205599784851,177455,137,2400242,9044,0.9964509342922241,5.707432034691188e-05,0.048493557606207,0.951506442393793,0.999942925679653
