GridType,SeedSpacing,k,nTrain,Superpixels,Time,TP,FP,TN,FN,Accuracy,FPR,FNR,Sensitivity,Specificity
square,10,3,10000,12390,24.952070951461792,123448,267,1083717,21328,0.9824253719196588,0.00024631359872470443,0.14731723490081228,0.8526827650991877,0.9997536864012753
square,10,4,10000,12390,10.24103832244873,123359,132,1083852,21417,0.9824628080341157,0.00012177301509985388,0.1479319776758579,0.8520680223241421,0.9998782269849001
square,10,5,10000,12390,18.157222270965576,123359,132,1083852,21417,0.9824628080341157,0.00012177301509985388,0.1479319776758579,0.8520680223241421,0.9998782269849001
square,20,3,6230,3115,31.11482048034668,123059,183,1083801,21717,0.9821771542042385,0.00016882168002479742,0.1500041443333149,0.8499958556666851,0.9998311783199753
square,20,4,6230,3115,18.813719987869263,123059,183,1083801,21717,0.9821771542042385,0.00016882168002479742,0.1500041443333149,0.8499958556666851,0.9998311783199753
square,20,5,6230,3115,21.023324489593506,123059,183,1083801,21717,0.9821771542042385,0.00016882168002479742,0.1500041443333149,0.8499958556666851,0.9998311783199753
square,30,3,2832,1416,25.893452882766724,121090,49,1083935,23686,0.9806837787688402,4.520361924161242e-05,0.1636044648284246,0.8363955351715754,0.9999547963807583
square,30,4,2832,1416,13.5513596534729,121210,89,1083895,23566,0.980748885054852,8.21045329082348e-05,0.1627755981654418,0.8372244018345583,0.9999178954670918
square,30,5,2832,1416,12.057860374450684,121210,89,1083895,23566,0.980748885054852,8.21045329082348e-05,0.1627755981654418,0.8372244018345583,0.9999178954670918
square,40,3,1496,748,18.717449188232422,121411,0,1083984,23365,0.9809848953416452,0.0,0.16138724650494557,0.8386127534950545,1.0
square,40,4,1496,748,8.784290552139282,121411,0,1083984,23365,0.9809848953416452,0.0,0.16138724650494557,0.8386127534950545,1.0
square,40,5,1496,748,26.71747350692749,121411,0,1083984,23365,0.9809848953416452,0.0,0.16138724650494557,0.8386127534950545,1.0
hex,10,3,10000,18275,38.185572385787964,123231,183,1083801,21545,0.982317132719164,0.00016882168002479742,0.1488161021163729,0.8511838978836271,0.9998311783199753
hex,10,4,10000,18275,8.807870388031006,123536,202,1083782,21240,0.9825498876916566,0.00018634961401644304,0.14670939934795824,0.8532906006520418,0.9998136503859836
hex,10,5,10000,18275,13.279479026794434,123547,194,1083790,21229,0.9825653504345845,0.00017896943128311858,0.14663341990385148,0.8533665800961485,0.9998210305687169
hex,20,3,9776,4888,23.085038900375366,122259,130,1083854,22517,0.9815692242586022,0.00011992796941652276,0.15552992208653368,0.8444700779134663,0.9998800720305835
hex,20,4,9776,4888,9.13118290901184,122551,156,1083828,22225,0.9817857026595918,0.0001439135632998273,0.15351301320660882,0.8464869867933912,0.9998560864367002
hex,20,5,9776,4888,23.788350582122803,122551,156,1083828,22225,0.9817857026595918,0.0001439135632998273,0.15351301320660882,0.8464869867933912,0.9998560864367002
hex,30,3,4216,2108,26.377130270004272,122144,140,1083844,22632,0.9814674956867085,0.00012915319783317835,0.15632425263855887,0.8436757473614411,0.9998708468021669
hex,30,4,4216,2108,14.230636835098267,121925,73,1083911,22851,0.981343793743286,6.734416744158585e-05,0.1578369342985025,0.8421630657014975,0.9999326558325584
hex,30,5,4216,2108,16.269448280334473,122144,140,1083844,22632,0.9814674956867085,0.00012915319783317835,0.15632425263855887,0.8436757473614411,0.9998708468021669
hex,40,3,2424,1212,21.97376561164856,121940,81,1083903,22836,0.981349490543312,7.472435017491033e-05,0.15773332596562967,0.8422666740343703,0.9999252756498251
hex,40,4,2424,1212,8.321357011795044,121888,36,1083948,22888,0.981343793743286,3.321082229996015e-05,0.15809250151958887,0.8419074984804111,0.9999667891777
hex,40,5,2424,1212,19.30934166908264,121888,36,1083948,22888,0.981343793743286,3.321082229996015e-05,0.15809250151958887,0.8419074984804111,0.9999667891777
